Old stable ID, New stable ID, Release, Mapping score
ENSG00000260491.1, <retired>, 76, 0
ENSG00000260491.1, ENSG00000186163.6, 76, 1

Old stable ID, New stable ID, Release, Mapping score
ENSG00000221062.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000238621.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000264650.1, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000267863.1, ENSG00000273440.1, 74, 1
ENSG00000267863.1, <retired>, 74, 0
ENSG00000267863.1, ENSG00000273208.1, 74, 1
ENSG00000267863.1, ENSG00000272571.1, 74, 1

Old stable ID, New stable ID, Release, Mapping score
ENSG00000252855.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000230454.1, ENSG00000230454.1, 98, 0.9
ENSG00000230454.1, ENSG00000230454.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000219039.1, ENSG00000219039.2, 55, 0.233564

Old stable ID, New stable ID, Release, Mapping score
ENSG00000224844.1, ENSG00000224844.1, 98, 0.9
ENSG00000224844.1, ENSG00000224844.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000230226.1, ENSG00000230226.1, 92, 0.72
ENSG00000230226.1, ENSG00000230226.1, 98, 0.9
ENSG00000230226.1, ENSG00000230226.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000254069.1, ENSG00000254069.2, 61, 0.96368

Old stable ID, New stable ID, Release, Mapping score
ENSG00000229458.1, ENSG00000229458.2, 58, 0.678391
ENSG00000229458.2, ENSG00000229458.2, 92, 0.72
ENSG00000229458.2, ENSG00000229458.2, 98, 0.9
ENSG00000229458.2, ENSG00000229458.2, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000265970.1, <retired>, 76, 0
ENSG00000265970.1, ENSG00000168509.14, 76, 1

Old stable ID, New stable ID, Release, Mapping score
ENSG00000212998.1, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000248621.1, ENSG00000248621.2, 71, 0.869524

Old stable ID, New stable ID, Release, Mapping score
ENSG00000234021.1, ENSG00000234021.1, 98, 0.9
ENSG00000234021.1, ENSG00000234021.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000227902.1, ENSG00000227902.2, 71, 0.800451
ENSG00000227902.2, ENSG00000227902.2, 98, 0.9
ENSG00000227902.2, ENSG00000227902.2, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000269562.1, <retired>, 76, 0
ENSG00000269562.1, ENSG00000080845.14, 76, 1

Old stable ID, New stable ID, Release, Mapping score
ENSG00000252378.1, <retired>, 79, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000257654.1, ENSG00000257654.1, 98, 0.9
ENSG00000257654.1, ENSG00000257654.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000269772.1, <retired>, 77, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000260946.1, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000230569.1, ENSG00000230569.1, 98, 0.9
ENSG00000230569.1, ENSG00000230569.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000212712.1, ENSG00000212712.2, 69, 0.995636

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000203266.1, ENSG00000203266.2, 55, 0.441683
ENSG00000203266.2, ENSG00000203266.3, 96, 0.820454
ENSG00000203266.3, ENSG00000203266.3, 98, 0.9
ENSG00000203266.3, ENSG00000203266.3, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000257781.1, ENSG00000257781.1, 98, 0.9
ENSG00000257781.1, ENSG00000257781.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000261265.1, ENSG00000261265.1, 98, 0.9
ENSG00000261265.1, ENSG00000261265.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000237805.1, <retired>, 76, 0
ENSG00000237805.1, ENSG00000270240.2, 76, 1

Old stable ID, New stable ID, Release, Mapping score
ENSG00000269679.1, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000232934.1, ENSG00000232934.2, 70, 0.617388
ENSG00000232934.2, ENSG00000232934.3, 72, 0.791268
ENSG00000232934.3, ENSG00000232934.4, 76, 0.989988
ENSG00000232934.4, ENSG00000232934.5, 77, 1
ENSG00000232934.5, ENSG00000232934.6, 79, 0.658049
ENSG00000232934.6, ENSG00000232934.7, 81, 1
ENSG00000232934.7, ENSG00000232934.7, 92, 0.72
ENSG00000232934.7, ENSG00000232934.8, 97, 0.985658
ENSG00000232934.8, ENSG00000232934.8, 98, 0.9
ENSG00000232934.8, ENSG00000232934.8, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000264264.1, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000205506.1, ENSG00000205506.2, 47, 0.459453
ENSG00000205506.2, ENSG00000205506.3, 50, 0.99942
ENSG00000205506.3, ENSG00000205506.4, 55, 0.959396
ENSG00000205506.4, ENSG00000205506.5, 62, 0.786126
ENSG00000205506.5, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000254186.1, ENSG00000254186.2, 92, 0.232655
ENSG00000254186.2, ENSG00000254186.3, 97, 0.940007
ENSG00000254186.3, ENSG00000254186.3, 98, 0.9
ENSG00000254186.3, ENSG00000254186.3, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000260114.1, ENSG00000260114.2, 76, 0.99956
ENSG00000260114.2, <retired>, 94, 0

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000226527.1, ENSG00000226527.2, 97, 0.828161
ENSG00000226527.2, ENSG00000226527.2, 98, 0.9
ENSG00000226527.2, ENSG00000226527.2, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000247137.1, ENSG00000247137.2, 61, 0.746628
ENSG00000247137.2, ENSG00000247137.3, 71, 0.869807
ENSG00000247137.3, ENSG00000247137.4, 73, 0.913789
ENSG00000247137.4, ENSG00000247137.5, 76, 1
ENSG00000247137.5, ENSG00000247137.6, 77, 0.876335
ENSG00000247137.6, ENSG00000247137.7, 79, 1
ENSG00000247137.7, ENSG00000247137.8, 81, 1
ENSG00000247137.8, ENSG00000247137.9, 97, 0.928182
ENSG00000247137.9, ENSG00000247137.9, 98, 0.924927
ENSG00000247137.9, ENSG00000247137.9, 99, 0.924927

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000262608.1, <retired>, 76, 0
ENSG00000262608.1, ENSG00000207204.1, 76, 1

Old stable ID, New stable ID, Release, Mapping score
ENSG00000233379.1, ENSG00000233379.2, 97, 0.894157
ENSG00000233379.2, ENSG00000233379.2, 98, 0.9
ENSG00000233379.2, ENSG00000233379.2, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000269173.1, <retired>, 76, 0
ENSG00000269173.1, ENSG00000102401.16, 76, 1

Old stable ID, New stable ID, Release, Mapping score
ENSG00000264871.1, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000258459.1, ENSG00000258459.1, 92, 0.72
ENSG00000258459.1, ENSG00000258459.1, 98, 0.9
ENSG00000258459.1, ENSG00000258459.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000259785.1, <retired>, 76, 0

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
ENSG00000259672.1, ENSG00000259672.2, 94, 0.821383
ENSG00000259672.2, ENSG00000259672.3, 97, 0.849186
ENSG00000259672.3, ENSG00000259672.3, 98, 0.9
ENSG00000259672.3, ENSG00000259672.3, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score
ENSG00000268360.1, <retired>, 74, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000232299.1, ENSG00000232299.1, 98, 0.9
ENSG00000232299.1, ENSG00000232299.1, 99, 0.9

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
